Year,Player,Team,Number
1997-98,Ben Wallace,WAS,30
1997-98,Rasheed Wallace,POR,30
1997-98,Clarence Weatherspoon,GSW,30
1997-98,Brent Barry,LAC,31
1997-98,Kelvin Cato,POR,31
1997-98,Duane Causwell,MIA,31
1997-98,Adonal Foyle,GSW,31
1997-98,Darvin Ham,WAS,31
1997-98,Reggie Jordan,MIN,31
1997-98,Adam Keefe,UTA,31
1997-98,Reggie Miller,IND,31
1997-98,Brian Oliver,ATL,31
1997-98,Scot Pollard,DET,31
1997-98,Shawn Respert,TOR,31
1997-98,Malik Rose,SAS,31
1997-98,James Collins,LAC,32
1997-98,Dale Davis,IND,32
1997-98,Sean Elliott,SAS,32
1997-98,Othella Harrington,HOU,32
1997-98,Henry James,CLE,32
1997-98,Jason Kidd,PHO,32
1997-98,Christian Laettner,ATL,32
1997-98,Karl Malone,UTA,32
1997-98,Kevin Salvadori,SAC,32
1997-98,Joe Smith,GSW,32
1997-98,Eric Williams,DEN,32
1997-98,Herb Williams,NYK,32
1997-98,Travis Williams,CHH,32
1997-98,Keith Closs,LAC,33
1997-98,Tyrone Corbin,ATL,33
1997-98,Antonio Daniels,VAN,33
1997-98,Yinka Dare,NJN,33
1997-98,Antonio Davis,IND,33
1997-98,Patrick Ewing,NYK,33
1997-98,Duane Ferrell,GSW,33
1997-98,Hersey Hawkins,SEA,33
1997-98,Grant Hill,DET,33
1997-98,Alonzo Mourning,MIA,33
1997-98,Jimmy Oliver,WAS,33
1997-98,Scottie Pippen,CHI,33
1997-98,Derek Strong,ORL,33
1997-98,Otis Thorpe,SAC,33
1997-98,Gary Trent,POR,33
1997-98,Ray Allen,MIL,34
1997-98,Terry Cummings,PHI,34
1997-98,Brian Evans,ORL,34
1997-98,Reggie Hanson,BOS,34
1997-98,Xavier McDaniel,NJN,34
1997-98,Antonio McDyess,PHO,34
1997-98,Chris Morris,UTA,34
1997-98,Charles Oakley,NYK,34
1997-98,Hakeem Olajuwon,HOU,34
1997-98,Shaquille O'Neal,LAL,34
1997-98,Isaiah Rider,POR,34
1997-98,Carlos Rogers,TOR,34
1997-98,Michael Smith,VAN,34
1997-98,David Vaughn,GSW,34
1997-98,Bill Wennington,CHI,34
1997-98,Jason Caffey,CHI,35
1997-98,Terry Cummings,NYK,35
1997-98,Erick Dampier,GSW,35
1997-98,Danny Ferry,CLE,35
1997-98,Tracy Murray,WAS,35
1997-98,Reggie Slater,TOR,35
1997-98,Loy Vaught,LAC,35
1997-98,Clarence Weatherspoon,PHI,35
1997-98,Bubba Wells,DAL,35
1997-98,Shandon Anderson,UTA,40
1997-98,Calbert Cheaney,WAS,40
1997-98,Marty Conlon,MIA,40
1997-98,Ervin Johnson,MIL,40
1997-98,Tim Kempton,TOR,40
1997-98,Travis Knight,BOS,40
1997-98,Ivano Newbill,VAN,40
1997-98,Ed Stokes,TOR,40
1997-98,Kurt Thomas,DAL,40
1997-98,Elden Campbell,LAL,41
1997-98,Will Perdue,SAS,41
1997-98,Glen Rice,CHH,41
1997-98,Joe Stephens,HOU,41
1997-98,Kebu Stewart,PHI,41
1997-98,Mark West,IND,41
1997-98,Vin Baker,SEA,42
1997-98,P.J. Brown,MIA,42
1997-98,Mark Hendrickson,SAC,42
1997-98,Tyrone Hill,MIL,42
1997-98,Michael McDonald,CHH,42
1997-98,Chris Mills,NYK,42
1997-98,Sam Mitchell,MIN,42
1997-98,Theo Ratliff,DET,42
1997-98,Jerry Stackhouse,DET,42
1997-98,David Vaughn,CHI,42
1997-98,Kevin Willis,HOU,42
1997-98,Walt Williams,POR,42
1997-98,Corie Blount,LAL,43
1997-98,Chris Carr,MIN,43
1997-98,Grant Long,DET,43
1997-98,Mark Pope,IND,43
1997-98,Lorenzo Williams,WAS,43
1997-98,Shawn Bradley,DAL,44
1997-98,Derrick Coleman,PHI,44
1997-98,Austin Croshere,IND,44
1997-98,Greg Foster,UTA,44
1997-98,Brian Grant,POR,44
1997-98,Harvey Grant,WAS,44
1997-98,Alan Henderson,ATL,44
1997-98,Stephen Howard,SEA,44
1997-98,Rick Mahorn,DET,44
1997-98,Tony Massenburg,VAN,44
1997-98,Cherokee Parks,MIN,44
1997-98,Shawnelle Scott,CLE,44
1997-98,Keith Van Horn,NJN,44
1997-98,John Wallace,TOR,44
1997-98,Michael Cage,NJN,45
1997-98,William Cunningham,UTA,45
1997-98,Andrew DeClercq,BOS,45
1997-98,A.C. Green,DAL,45
1997-98,Cedric Henderson,CLE,45
1997-98,Bo Outlaw,ORL,45
1997-98,Chuck Person,SAS,45
1997-98,Sean Rooks,LAL,45
1997-98,Rik Smits,IND,45
1997-98,Matt Bullard,HOU,50
1997-98,William Cunningham,PHI,50
1997-98,Bryant Reeves,VAN,50
1997-98,Eric Riley,DAL,50
1997-98,David Robinson,SAS,50
1997-98,Felton Spencer,GSW,50
1997-98,Adrian Caldwell,DAL,51
1997-98,Lawrence Funderburke,SAC,51
1997-98,Chucky Brown,ATL,52
1997-98,Terry Davis,WAS,52
1997-98,Todd Fuller,GSW,52
1997-98,Matt Geiger,CHH,52
1997-98,Eric Piatkowski,LAC,52
1997-98,Vitaly Potapenko,CLE,52
1997-98,Don Reid,DET,52
1997-98,Samaki Walker,DAL,52
1997-98,Buck Williams,NYK,52
1997-98,George Zidek,SEA,52
1997-98,Joe Kleine,CHI,53
1997-98,Alton Lister,POR,53
1997-98,Stanley Roberts,MIN,53
1997-98,Horace Grant,ORL,54
1997-98,Derek Grimm,SAC,54
1997-98,Jack Haley,NJN,54
1997-98,Popeye Jones,TOR,54
1997-98,Brad Lohaus,SAS,54
1997-98,Rodney Rogers,LAC,54
1997-98,Antoine Carr,UTA,55
1997-98,Bob McCann,TOR,55
1997-98,Dikembe Mutombo,ATL,55
1997-98,Zan Tabak,BOS,55
1997-98,John Thomas,BOS,55
1997-98,Jayson Williams,NJN,55
1997-98,Scott Williams,PHI,55
1997-98,Lorenzen Wright,LAC,55
1997-98,Dennis Rodman,CHI,91
1997-98,Roy Rogers,BOS,99
1998-99,Terry Mills,MIA,UNK
1998-99,Ben Wallace,WAS,UNK
1998-99,Benoit Benjamin,PHI,00
1998-99,Tony Delk,GSW,00
1998-99,Eric Montross,DET,00
1998-99,Greg Ostertag,UTA,00
1998-99,Walter McCarty,BOS,0
1998-99,Olden Polynice,SEA,0
1998-99,Muggsy Bogues,GSW,1
1998-99,Randy Brown,CHI,1
1998-99,Chris Childs,NYK,1
1998-99,Anfernee Hardaway,ORL,1
1998-99,Lindsey Hunter,DET,1
1998-99,Tracy McGrady,TOR,1
1998-99,Cherokee Parks,VAN,1
1998-99,Anthony Peeler,MIN,1
1998-99,Elliot Perry,NJN,1
1998-99,Wesley Person,CLE,1
1998-99,Rodrick Rhodes,HOU,1
1998-99,Rod Strickland,WAS,1
1998-99,Tim Thomas,PHI,1
1998-99,B.J. Armstrong,ORL,2
1998-99,Keith Askins,MIA,2
1998-99,Stacey Augmon,POR,2
1998-99,Mark Bryant,CHI,2
1998-99,Derek Fisher,LAL,2
1998-99,Jaren Jackson,SAS,2
1998-99,Larry Johnson,NYK,2
1998-99,Randy Livingston,PHO,2
1998-99,Anthony Miller,HOU,2
1998-99,Shawn Respert,PHO,2
1998-99,Mitch Richmond,WAS,2
1998-99,Malik Sealy,MIN,2
1998-99,Rony Seikaly,NJN,2
1998-99,Doug West,VAN,2
1998-99,Shareef Abdur-Rahim,VAN,3
1998-99,LaMark Baker,TOR,3
1998-99,Rex Chapman,PHO,3
1998-99,Michael Dickerson,HOU,3
1998-99,Allen Iverson,PHI,3
1998-99,Mark Macon,DET,3
1998-99,Stephon Marbury,MIN,3
1998-99,Donyell Marshall,GSW,3
1998-99,Vernon Maxwell,SAC,3
1998-99,Kevin Ollie,ORL,3
1998-99,Eldridge Recasner,CHH,3
1998-99,Bryon Russell,UTA,3
1998-99,Dennis Scott,MIN,3
1998-99,Damon Stoudamire,POR,3
1998-99,Bob Sura,CLE,3
1998-99,Jamie Watson,MIA,3
1998-99,Monty Williams,DEN,3
1998-99,Shammond Williams,ATL,3
1998-99,Haywoode Workman,MIL,3
1998-99,Charles Barkley,HOU,4
1998-99,Travis Best,IND,4
1998-99,Chauncey Billups,DEN,4
1998-99,Gerald Brown,PHO,4
1998-99,Duane Causwell,MIA,4
1998-99,James Cotton,SEA,4
1998-99,Chris Crawford,ATL,4
1998-99,Ben Davis,NYK,4
1998-99,Joe Dumars,DET,4
1998-99,Michael Finley,DAL,4
1998-99,Popeye Jones,BOS,4
1998-99,Shawn Kemp,CLE,4
1998-99,Steve Kerr,SAS,4
1998-99,Rick Mahorn,PHI,4
1998-99,Carlos Rogers,POR,4
1998-99,Michael Stewart,TOR,4
1998-99,Chris Webber,SAC,4
1998-99,David Wesley,CHH,4
1998-99,Earl Boykins,CLE,5
1998-99,Robert Horry,LAL,5
1998-99,Juwan Howard,WAS,5
1998-99,Rusty LaRue,CHI,5
1998-99,Ron Mercer,BOS,5
1998-99,Cuttino Mobley,HOU,5
1998-99,Eric Murdock,NJN,5
1998-99,Charles O'Bannon,DET,5
1998-99,Jermaine O'Neal,POR,5
1998-99,Elliot Perry,MIL,5
1998-99,Jalen Rose,IND,5
1998-99,Charles Smith,LAC,5
1998-99,Vladimir Stepania,SEA,5
1998-99,Mark Strickland,MIA,5
1998-99,Tim Thomas,MIL,5
1998-99,Tyson Wheeler,DEN,5
1998-99,Mitchell Butler,CLE,6
1998-99,Troy Hudson,LAC,6
1998-99,Avery Johnson,SAS,6
1998-99,Eddie Jones,CHH,6
1998-99,Moochie Norris,SEA,6
1998-99,Bonzi Wells,POR,6
1998-99,DeJuan Wheat,VAN,6
1998-99,Cory Alexander,DEN,7
1998-99,Kenny Anderson,BOS,7
1998-99,Earl Boykins,NJN,7
1998-99,Terrell Brandon,MIL,7
1998-99,Dee Brown,TOR,7
1998-99,Mark Davis,MIA,7
1998-99,Paul Grant,MIL,7
1998-99,Michael Hawkins,SAC,7
1998-99,Sam Jacobson,LAL,7
1998-99,Antawn Jamison,GSW,7
1998-99,Toni Kukoc,CHI,7
1998-99,Rashard Lewis,SEA,7
1998-99,Sam Mack,HOU,7
1998-99,Roshown McLeod,ATL,7
1998-99,Lamond Murray,LAC,7
1998-99,J.R. Reid,CHH,7
1998-99,Brian Shaw,POR,7
1998-99,Isaac Austin,ORL,8
1998-99,Kobe Bryant,LAL,8
1998-99,Bison Dele,DET,8
1998-99,Pat Garrity,PHO,8
1998-99,Eddie Johnson,HOU,8
1998-99,Aaron McKie,PHI,8
1998-99,Oliver Miller,SAC,8
1998-99,Tyrone Nesby,LAC,8
1998-99,Rasho Nesterovic,MIN,8
1998-99,Dickey Simpkins,CHI,8
1998-99,Steve Smith,ATL,8
1998-99,Latrell Sprewell,NYK,8
1998-99,Antoine Walker,BOS,8
1998-99,Tariq Abdul-Wahad,SAC,9
1998-99,Willie Burton,CHH,9
1998-99,Dale Ellis,SEA,9
1998-99,Litterial Green,CLE,9
1998-99,Ron Harper,CHI,9
1998-99,Damon Jones,NJN,9
1998-99,George Lynch,PHI,9
1998-99,Dan Majerle,MIA,9
1998-99,Derrick McKey,IND,9
1998-99,Greg Minor,BOS,9
1998-99,John Starks,GSW,9
1998-99,Gerald Wilkins,ORL,9
1998-99,B.J. Armstrong,CHH,10
1998-99,Darrell Armstrong,ORL,10
1998-99,Mike Bibby,VAN,10
1998-99,Mookie Blaylock,ATL,10
1998-99,Sam Cassell,NJN,10
1998-99,Howard Eisley,UTA,10
1998-99,Andrew Gaze,SAS,10
1998-99,Armen Gilliam,MIL,10
1998-99,Tim Hardaway,MIA,10
1998-99,Tyronn Lue,LAL,10
1998-99,Jeff McInnis,WAS,10
1998-99,Ryan Stack,CLE,10
1998-99,Chris Anstey,DAL,11
1998-99,Dana Barros,BOS,11
1998-99,Rick Brunson,NYK,11
1998-99,Bryce Drew,HOU,11
1998-99,Brian Evans,MIN,11
1998-99,Zydrunas Ilgauskas,CLE,11
1998-99,Charles Jones,CHI,11
1998-99,Adonis Jordan,MIL,11
1998-99,Negele Knight,TOR,11
1998-99,Lee Mayberry,VAN,11
1998-99,Kelly McCarty,DEN,11
1998-99,Jimmy Oliver,PHO,11
1998-99,Doug Overton,ORL,11
1998-99,J.R. Reid,LAL,11
1998-99,Arvydas Sabonis,POR,11
1998-99,Detlef Schrempf,SEA,11
1998-99,Jacque Vaughn,UTA,11
1998-99,Stojko Vrankovic,LAC,11
1998-99,Brandon Williams,SAS,11
1998-99,Toby Bailey,PHO,12
1998-99,Drew Barry,SEA,12
1998-99,Bruce Bowen,BOS,12
1998-99,Bimbo Coles,GSW,12
1998-99,John Crotty,POR,12
1998-99,Michael Curry,MIL,12
1998-99,Derek Harper,LAL,12
1998-99,Lucious Harris,NJN,12
1998-99,Steve Henson,DET,12
1998-99,Brevin Knight,CLE,12
1998-99,Matt Maloney,HOU,12
1998-99,Anthony Parker,PHI,12
1998-99,Rodrick Rhodes,VAN,12
1998-99,John Stockton,UTA,12
1998-99,John Thomas,TOR,12
1998-99,Chris Whitney,WAS,12
1998-99,Doug Christie,TOR,13
1998-99,Keon Clark,DEN,13
1998-99,Kendall Gill,NJN,13
1998-99,Mark Jackson,IND,13
1998-99,Damon Jones,BOS,13
1998-99,Luc Longley,PHO,13
1998-99,Felipe Lopez,VAN,13
1998-99,Steve Nash,DAL,13
1998-99,Bobby Phills,CHH,13
1998-99,Glenn Robinson,MIL,13
1998-99,Jerome Williams,DET,13
1998-99,Chris Dudley,NYK,14
1998-99,Jamie Feick,NJN,14
1998-99,Carl Herrera,VAN,14
1998-99,Jeff Hornacek,UTA,14
1998-99,Nazr Mohammed,PHI,14
1998-99,Robert Pack,DAL,14
1998-99,Sam Perkins,IND,14
1998-99,Eric Washington,DEN,14
1998-99,Micheal Williams,TOR,14
1998-99,Corey Beck,CHH,15
1998-99,Vince Carter,TOR,15
1998-99,Bill Curley,MIN,15
1998-99,Vinny Del Negro,MIL,15
1998-99,Danny Fortson,DEN,15
1998-99,Chris Gatling,NJN,15
1998-99,Matt Harpring,ORL,15
1998-99,Danny Manning,PHO,15
1998-99,Darrick Martin,LAC,15
1998-99,Kevin Ollie,SAC,15
1998-99,Jeffrey Sheppard,ATL,15
1998-99,Aaron Williams,SEA,15
1998-99,Peja Stojakovic,SAC,16
1998-99,Mario Elie,SAS,17
1998-99,Rick Fox,LAL,17
1998-99,Chris Mullin,IND,17
1998-99,Johnny Taylor,DEN,17
1998-99,Kornel David,CHI,18
1998-99,Jamie Feick,MIL,18
1998-99,Hot Rod Williams,DAL,18
1998-99,Jim Jackson,POR,19
1998-99,Alvin Sims,PHO,19
1998-99,Jon Barry,SAC,20
1998-99,Corey Beck,DET,20
1998-99,Sam Cassell,MIL,20
1998-99,Sherman Douglas,LAC,20
1998-99,LaPhonso Ellis,ATL,20
1998-99,Marlon Garnett,BOS,20
1998-99,Tom Hammonds,MIN,20
1998-99,Fred Hoiberg,IND,20
1998-99,Allan Houston,NYK,20
1998-99,Marko Milic,PHO,20
1998-99,Johnny Newman,CLE,20
1998-99,Doug Overton,NJN,20
1998-99,Gary Payton,SEA,20
1998-99,Brent Price,HOU,20
1998-99,Khalid Reeves,DET,20
1998-99,Eric Snow,PHI,20
1998-99,Erick Strickland,DAL,20
1998-99,Alvin Williams,TOR,20
1998-99,Jason Caffey,GSW,21
1998-99,Cory Carr,CHI,21
1998-99,Ricky Davis,CHH,21
1998-99,Vlade Divac,SAC,21
1998-99,Tim Duncan,SAS,21
1998-99,Kevin Garnett,MIN,21
1998-99,Carl Herrera,DEN,21
1998-99,Larry Hughes,PHI,21
1998-99,Antonio Lang,CLE,21
1998-99,Voshon Lenard,MIA,21
1998-99,George McCloud,PHO,21
1998-99,Ruben Patterson,LAL,21
1998-99,Charlie Ward,NYK,21
1998-99,Dominique Wilkins,ORL,21
1998-99,Keith Booth,CHI,22
1998-99,John Crotty,SEA,22
1998-99,Dean Garrett,MIN,22
1998-99,Ed Gray,ATL,22
1998-99,Sean Marks,TOR,22
1998-99,Jim McIlvaine,NJN,22
1998-99,Derek Anderson,CLE,23
1998-99,Marcus Camby,NYK,23
1998-99,Cedric Ceballos,DAL,23
1998-99,Gary Grant,POR,23
1998-99,Tim Legler,WAS,23
1998-99,Jason Sasser,VAN,23
1998-99,Bryant Stith,DEN,23
1998-99,Maurice Taylor,LAC,23
1998-99,Rex Walters,MIA,23
1998-99,Scott Burrell,NJN,24
1998-99,Hubert Davis,DAL,24
1998-99,Terry Dehere,SAC,24
1998-99,Tom Gugliotta,PHO,24
1998-99,Bobby Jackson,MIN,24
1998-99,Anthony Johnson,ATL,24
1998-99,Don MacLean,SEA,24
1998-99,Jamal Mashburn,MIA,24
1998-99,Antonio McDyess,DEN,24
1998-99,Pooh Richardson,LAC,24
1998-99,Danny Schayes,ORL,24
1998-99,Nick Anderson,ORL,25
1998-99,Corey Benjamin,CHI,25
1998-99,Erick Dampier,GSW,25
1998-99,Chris Gatling,MIL,25
1998-99,Al Harrington,IND,25
1998-99,Jerald Honeycutt,MIL,25
1998-99,Jerome Kersey,SAS,25
1998-99,David Wingate,NYK,25
1998-99,James Robinson,LAC,26
1998-99,Andrew Lang,CHI,28
1998-99,Jud Buechler,DET,30
1998-99,Dell Curry,MIL,30
1998-99,Kerry Kittles,NJN,30
1998-99,Billy Owens,SEA,30
1998-99,Terry Porter,MIA,30
1998-99,Clifford Robinson,PHO,30
1998-99,Casey Shaw,PHI,30
1998-99,Rasheed Wallace,POR,30
1998-99,Joe Wolf,CHH,30
1998-99,Brent Barry,CHI,31
1998-99,Kelvin Cato,POR,31
1998-99,Adonal Foyle,GSW,31
1998-99,Reggie Jordan,MIN,31
1998-99,Adam Keefe,UTA,31
1998-99,Reggie Miller,IND,31
1998-99,Mikki Moore,DET,31
1998-99,Scot Pollard,SAC,31
1998-99,Malik Rose,SAS,31
1998-99,Nick Van Exel,DEN,31
1998-99,Pete Chilcutt,VAN,32
1998-99,Dale Davis,IND,32
1998-99,Blue Edwards,MIA,32
1998-99,Sean Elliott,SAS,32
1998-99,Othella Harrington,HOU,32
1998-99,Jason Kidd,PHO,32
1998-99,Christian Laettner,DET,32
1998-99,Karl Malone,UTA,32
1998-99,Brian Skinner,LAC,32
1998-99,Joe Smith,MIN,32
1998-99,Eric Williams,DEN,32
1998-99,Herb Williams,NYK,32
1998-99,Travis Williams,CHH,32
1998-99,Keith Closs,LAC,33
1998-99,Tyrone Corbin,ATL,33
1998-99,Antonio Daniels,SAS,33
1998-99,Antonio Davis,IND,33
1998-99,Patrick Ewing,NYK,33
1998-99,Duane Ferrell,GSW,33
1998-99,Hersey Hawkins,SEA,33
1998-99,Grant Hill,DET,33
1998-99,Chris King,UTA,33
1998-99,Stephon Marbury,NJN,33
1998-99,Alonzo Mourning,MIA,33
1998-99,Scottie Pippen,HOU,33
1998-99,Charles Shackleford,CHH,33
1998-99,Derek Strong,ORL,33
1998-99,Otis Thorpe,WAS,33
1998-99,Gary Trent,DAL,33
1998-99,Ray Allen,MIL,34
1998-99,Jelani McCoy,SEA,34
1998-99,Loren Meyer,DEN,34
1998-99,Chris Mills,GSW,34
1998-99,Chris Morris,PHO,34
1998-99,Charles Oakley,TOR,34
1998-99,Hakeem Olajuwon,HOU,34
1998-99,Michael Olowokandi,LAC,34
1998-99,Shaquille O'Neal,LAL,34
1998-99,Paul Pierce,BOS,34
1998-99,Isaiah Rider,POR,34
1998-99,Miles Simon,ORL,34
1998-99,Michael Smith,VAN,34
1998-99,Bill Wennington,CHI,34
1998-99,Corliss Williamson,SAC,34
1998-99,Terry Cummings,GSW,35
1998-99,Danny Ferry,CLE,35
1998-99,Joe Kleine,PHO,35
1998-99,Tracy Murray,WAS,35
1998-99,Reggie Slater,TOR,35
1998-99,Loy Vaught,DET,35
1998-99,Clarence Weatherspoon,MIA,35
1998-99,Shandon Anderson,UTA,40
1998-99,Tony Battie,BOS,40
1998-99,Calbert Cheaney,WAS,40
1998-99,Marty Conlon,MIA,40
1998-99,Paul Grant,MIN,40
1998-99,Tyrone Hill,PHI,40
1998-99,Ervin Johnson,MIL,40
1998-99,Travis Knight,LAL,40
1998-99,Brad Miller,CHH,40
1998-99,Makhtar N'Diaye,VAN,40
1998-99,Bruno Sundov,DAL,40
1998-99,Kurt Thomas,NYK,40
1998-99,Thurl Bailey,UTA,41
1998-99,Elden Campbell,CHH,41
1998-99,Dirk Nowitzki,DAL,41
1998-99,Will Perdue,SAS,41
1998-99,Glen Rice,LAL,41
1998-99,Mark West,ATL,41
1998-99,Vin Baker,SEA,42
1998-99,Etdrick Bohannon,WAS,42
1998-99,P.J. Brown,MIA,42
1998-99,Mark Hendrickson,NJN,42
1998-99,Tyrone Hill,MIL,42
1998-99,Sam Mitchell,MIN,42
1998-99,Theo Ratliff,PHI,42
1998-99,Jerry Stackhouse,DET,42
1998-99,Kevin Willis,TOR,42
1998-99,Walt Williams,POR,42
1998-99,Peter Aluma,SAC,43
1998-99,Corie Blount,LAL,43
1998-99,Chris Carr,MIN,43
1998-99,Grant Long,ATL,43
1998-99,Mark Pope,IND,43
1998-99,Mario Bennett,CHI,44
1998-99,Corie Blount,CLE,44
1998-99,Shawn Bradley,DAL,44
1998-99,Derrick Coleman,CHH,44
1998-99,Austin Croshere,IND,44
1998-99,Greg Foster,UTA,44
1998-99,Brian Grant,POR,44
1998-99,Harvey Grant,PHI,44
1998-99,Alan Henderson,ATL,44
1998-99,Tony Massenburg,VAN,44
1998-99,Eric Riley,BOS,44
1998-99,Keith Van Horn,NJN,44
1998-99,John Wallace,TOR,44
1998-99,Andrew DeClercq,BOS,45
1998-99,A.C. Green,DAL,45
1998-99,Cedric Henderson,CLE,45
1998-99,Raef LaFrentz,DEN,45
1998-99,Bo Outlaw,ORL,45
1998-99,Andrae Patterson,MIN,45
1998-99,Chuck Person,CHH,45
1998-99,Sean Rooks,LAL,45
1998-99,Rik Smits,IND,45
1998-99,Korleone Young,DET,45
1998-99,Greg Anthony,POR,50
1998-99,Matt Bullard,HOU,50
1998-99,Randell Jackson,WAS,50
1998-99,Bryant Reeves,VAN,50
1998-99,David Robinson,SAS,50
1998-99,Felton Spencer,GSW,50
1998-99,David Vaughn,NJN,50
1998-99,Trevor Winter,MIN,50
1998-99,John Coker,WAS,51
1998-99,William Cunningham,NJN,51
1998-99,Michael Doleac,ORL,51
1998-99,Lawrence Funderburke,SAC,51
1998-99,Chucky Brown,CHH,52
1998-99,Terry Davis,WAS,52
1998-99,Todd Fuller,UTA,52
1998-99,Matt Geiger,PHI,52
1998-99,J.R. Henderson,VAN,52
1998-99,Jonathan Kerner,ORL,52
1998-99,Eric Piatkowski,LAC,52
1998-99,Vitaly Potapenko,BOS,52
1998-99,Don Reid,DET,52
1998-99,Samaki Walker,DAL,52
1998-99,Jerome James,SAC,53
1998-99,Stanley Roberts,HOU,53
1998-99,Anthony Avent,UTA,54
1998-99,William Cunningham,TOR,54
1998-99,Horace Grant,ORL,54
1998-99,Gerard King,SAS,54
1998-99,Rodney Rogers,LAC,54
1998-99,Robert Traylor,MIL,54
1998-99,Antoine Carr,HOU,55
1998-99,Andrew DeClercq,CLE,55
1998-99,Dikembe Mutombo,ATL,55
1998-99,Dwayne Schintzius,BOS,55
1998-99,Jahidi White,WAS,55
1998-99,Jayson Williams,NJN,55
1998-99,Jason Williams,SAC,55
1998-99,Scott Williams,MIL,55
1998-99,Lorenzen Wright,LAC,55
1998-99,Dennis Rodman,LAL,73
1998-99,Gheorghe Muresan,NJN,77
1999-00,Benoit Benjamin,CLE,00
1999-00,Tony Delk,SAC,00
1999-00,Evan Eschmeyer,NJN,00
1999-00,Eric Montross,DET,00
1999-00,Lari Ketner,CLE,0
1999-00,Walter McCarty,BOS,0
1999-00,Olden Polynice,UTA,0
1999-00,Derek Anderson,LAC,1
1999-00,Randy Brown,CHI,1
1999-00,Chris Childs,NYK,1
1999-00,Baron Davis,CHH,1
1999-00,Kiwane Garris,ORL,1
1999-00,Anfernee Hardaway,PHO,1
1999-00,Lindsey Hunter,DET,1
1999-00,Tracy McGrady,TOR,1
1999-00,Cherokee Parks,VAN,1
1999-00,Anthony Peeler,MIN,1
1999-00,Elliot Perry,NJN,1
1999-00,Wesley Person,CLE,1
1999-00,Rod Strickland,WAS,1
1999-00,Shammond Williams,SEA,1
1999-00,Stacey Augmon,POR,2
1999-00,Drew Barry,GSW,2
1999-00,Mark Bryant,CLE,2
1999-00,Dale Ellis,CHH,2
1999-00,Derek Fisher,LAL,2
1999-00,Jaren Jackson,SAS,2
1999-00,Larry Johnson,NYK,2
1999-00,Charles Jones,LAC,2
1999-00,Randy Livingston,PHO,2
1999-00,Anthony Miller,HOU,2
1999-00,Rodrick Rhodes,DAL,2
1999-00,Mitch Richmond,WAS,2
1999-00,Malik Sealy,MIN,2
1999-00,Doug West,VAN,2
1999-00,Shareef Abdur-Rahim,VAN,3
1999-00,Cal Bowdler,ATL,3
1999-00,Rex Chapman,PHO,3
1999-00,Steve Francis,HOU,3
1999-00,Devean George,LAL,3
1999-00,Al Harrington,IND,3
1999-00,Hersey Hawkins,CHI,3
1999-00,Rick Hughes,DAL,3
1999-00,Allen Iverson,PHI,3
1999-00,Donyell Marshall,GSW,3
1999-00,Vernon Maxwell,SEA,3
1999-00,Eric Murdock,LAC,3
1999-00,Laron Profit,WAS,3
1999-00,Eldridge Recasner,CHH,3
1999-00,Bryon Russell,UTA,3
1999-00,Damon Stoudamire,POR,3
1999-00,Bob Sura,CLE,3
1999-00,Monty Williams,ORL,3
1999-00,Haywoode Workman,MIL,3
1999-00,Charles Barkley,HOU,4
1999-00,Tony Battie,BOS,4
1999-00,Travis Best,IND,4
1999-00,Chauncey Billups,DEN,4
1999-00,Duane Causwell,MIA,4
1999-00,Chris Crawford,ATL,4
1999-00,Mark Davis,GSW,4
1999-00,Michael Finley,DAL,4
1999-00,Ron Harper,LAL,4
1999-00,DeMarco Johnson,NYK,4
1999-00,Shawn Kemp,CLE,4
1999-00,Steve Kerr,SAS,4
1999-00,Michael Stewart,TOR,4
1999-00,Ben Wallace,ORL,4
1999-00,Chris Webber,SAC,4
1999-00,David Wesley,CHH,4
1999-00,William Avery,MIN,5
1999-00,Earl Boykins,CLE,5
1999-00,Elden Campbell,CHH,5
1999-00,Vonteego Cummings,GSW,5
1999-00,Derrick Dial,SAS,5
1999-00,Armen Gilliam,UTA,5
1999-00,Dion Glover,ATL,5
1999-00,Robert Horry,LAL,5
1999-00,Juwan Howard,WAS,5
1999-00,Jermaine Jackson,DET,5
1999-00,Rusty LaRue,CHI,5
1999-00,Jeff McInnis,LAC,5
1999-00,Ron Mercer,DEN,5
1999-00,Cuttino Mobley,HOU,5
1999-00,Kevin Ollie,PHI,5
1999-00,Jermaine O'Neal,POR,5
1999-00,Milt Palacio,VAN,5
1999-00,Jalen Rose,IND,5
1999-00,Vladimir Stepania,SEA,5
1999-00,Mark Strickland,MIA,5
1999-00,Jamel Thomas,BOS,5
1999-00,Tim Thomas,MIL,5
1999-00,Wayne Turner,BOS,5
1999-00,Troy Hudson,LAC,6
1999-00,Sam Jacobson,GSW,6
1999-00,Harold Jamison,MIA,6
1999-00,Avery Johnson,SAS,6
1999-00,Eddie Jones,CHH,6
1999-00,Lari Ketner,CHI,6
1999-00,Terry Mills,DET,6
1999-00,Khalid Reeves,CHI,6
1999-00,Carlos Rogers,HOU,6
1999-00,Mirsad Turkcan,MIL,6
1999-00,Bonzi Wells,POR,6
1999-00,Cory Alexander,DEN,7
1999-00,Kenny Anderson,BOS,7
1999-00,Terrell Brandon,MIN,7
1999-00,Dee Brown,TOR,7
1999-00,Mark Davis,GSW,7
1999-00,Michael Hawkins,CHH,7
1999-00,Sam Jacobson,LAL,7
