Year,Player,Team,Number
1947-48,Wyndol Gray,STB,3
1947-48,Charlie Hoefer,BOS,3
1947-48,Paul Huston,CHS,3
1947-48,Carl Braun,NYK,4
1947-48,Saul Mariaschin,BOS,4
1947-48,Dino Martin,PRO,4
1947-48,Red Rocha,STB,4
1947-48,Kenny Sailors,PHW,4
1947-48,Bob Doll,STB,5
1947-48,Cecil Hankins,BOS,5
1947-48,Angelo Musi,PHW,5
1947-48,Paul Noel,NYK,5
1947-48,Kenny Sailors,PRO,5
1947-48,Hank Beenders,PRO,6
1947-48,Jerry Fleishman,PHW,6
1947-48,Grady Lewis,STB,6
1947-48,George Munroe,BOS,6
1947-48,Irv Rothenberg,STB,6
1947-48,Mickey Rottner,CHS,6
1947-48,Sid Tanenbaum,NYK,6
1947-48,Chink Crossin,PHW,7
1947-48,John Logan,STB,7
1947-48,Bob O'Brien,PHW,7
1947-48,Mel Riebe,BOS,7
1947-48,Lee Robbins,PRO,7
1947-48,Stan Stutz,NYK,7
1947-48,Sonny Hertzberg,NYK,8
1947-48,Don Putman,STB,8
1947-48,George Senesky,PHW,8
1947-48,Ray Wertis,PRO,8
1947-48,John Abramovic,STB,9
1947-48,Leo Gottlieb,NYK,9
1947-48,Bob Hubbard,PRO,9
1947-48,Ralph Kaplowitz,PHW,9
1947-48,George Nostrand,PRO,9
1947-48,Buddy O'Grady,STB,9
1947-48,Mel Riebe,BOS,9
1947-48,Lee Robbins,PRO,9
1947-48,Mike Bloom,BOS,10
1947-48,Johnny Ezersky,PRO,10
1947-48,Bob Feerick,WSC,10
1947-48,Joe Fulks,PHW,10
1947-48,George Mearns,PRO,10
1947-48,Stan Noszka,BOS,10
1947-48,Connie Simmons,BOS,10
1947-48,Belus Smawley,STB,10
1947-48,Max Zaslofsky,CHS,10
1947-48,Chuck Connors,BOS,11
1947-48,Pop Goodwin,PRO,11
1947-48,Nat Hickey,PRO,11
1947-48,Dick Holub,NYK,11
1947-48,Ariel Maughan,STB,11
1947-48,Stan Noszka,BOS,11
1947-48,Howie Dallmar,PHW,12
1947-48,Ray Kuka,NYK,12
1947-48,John Mahnken,WSC,12
1947-48,Giff Roux,STB,12
1947-48,Earl Shannon,PRO,12
1947-48,Art Spector,BOS,12
1947-48,Gene Vance,CHS,12
1947-48,Jerry Kelly,PRO,13
1947-48,Gene Stump,BOS,13
1947-48,Stan Brown,PHW,14
1947-48,Tommy Byrnes,NYK,14
1947-48,Bulbs Ehlers,BOS,14
1947-48,Sonny Hertzberg,WSC,14
1947-48,Don Martin,STB,14
1947-48,George Nostrand,PRO,14
1947-48,Ben Schadler,CHS,14
1947-48,Hank Beenders,PHW,15
1947-48,Jack Garfinkel,BOS,15
1947-48,Ariel Maughan,PRO,15
1947-48,Wat Misaka,NYK,15
1947-48,Dick O'Keefe,WSC,15
1947-48,Gene Rock,CHS,15
1947-48,Dick Fitzgerald,PRO,16
1947-48,Johnny Norlander,WSC,16
1947-48,Bud Palmer,NYK,16
1947-48,Chuck Gilmur,CHS,17
1947-48,Jack Hewson,BOS,17
1947-48,John Janisch,BOS,17
1947-48,Bones McKinney,WSC,17
1947-48,Butch Van Breda Kolff,NYK,17
1947-48,Art Hillhouse,PHW,18
1947-48,Irv Rothenberg,WSC,18
1947-48,Jim Seminoff,CHS,18
1947-48,Lee Knorek,NYK,19
1947-48,Andy Phillip,CHS,19
1947-48,Jack Rocker,PHW,19
1947-48,Jack Tingle,WSC,19
1947-48,Chick Halbert,PHW,20
1947-48,Herm Klotz,BLB,20
1947-48,Fred Scolari,WSC,20
1947-48,Jack Toomay,CHS,20
1947-48,Jack Garfinkel,BOS,21
1947-48,Dick Schulz,BLB,21
1947-48,Chick Halbert,CHS,22
1947-48,Ed Sadowski,BOS,22
1947-48,Irv Torgoff,WSC,22
1947-48,Herm Fuetsch,BLB,23
1947-48,Stan Miasek,CHS,23
1947-48,Paul Seymour,BLB,24
1947-48,Buddy Jeannette,BLB,26
1947-48,Chick Reiser,BLB,27
1947-48,Mike Bloom,BLB,28
1947-48,Kleggie Hermsen,BLB,29
1947-48,Elmer Gainer,BLB,30
