Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
37,Brandon Bass\bassbr01,PF,31,Los Angeles Clippers,49,551,19.2,.643,.017,.438,8.3,16.4,12.5,5.7,1.3,1.6,11.7,19.5,,1.4,0.6,2.0,.174,,-0.2,-0.7,-0.9,0.1
38,Nicolas Batum\batumni01,SG,28,Charlotte Hornets,72,2468,15.5,.527,.421,.288,2.0,18.6,10.3,27.1,1.6,1.0,15.2,22.1,,1.4,2.8,4.3,.083,,0.5,0.8,1.3,2.0
39,Jerryd Bayless\bayleje01,PG,28,Philadelphia 76ers,3,71,8.7,.453,.156,.313,4.7,13.9,9.3,29.3,0.0,0.0,19.8,27.7,,-0.1,0.0,-0.1,-0.065,,-5.2,-2.8,-8.0,-0.1
40,Aron Baynes\baynear01,C,30,Detroit Pistons,74,1144,12.9,.561,.000,.336,10.0,21.6,15.6,4.0,0.8,2.8,13.0,14.0,,1.4,1.5,2.9,.120,,-3.1,1.2,-1.9,0.0
41,Kent Bazemore\bazemke01,SF,27,Atlanta Hawks,70,1896,11.3,.499,.366,.227,2.5,10.2,6.4,14.0,2.2,2.3,13.4,20.4,,-0.7,2.6,1.9,.047,,-2.2,1.1,-1.1,0.4
42,Bradley Beal\bealbr01,SG,23,Washington Wizards,73,2542,20.0,.603,.419,.257,2.2,7.8,5.0,16.2,1.5,0.6,9.5,26.5,,6.5,1.5,8.0,.151,,4.5,-2.4,2.2,2.7
43,Malik Beasley\beaslma01,SG,20,Denver Nuggets,19,90,13.8,.526,.386,.182,2.5,8.6,5.6,10.4,2.2,0.0,9.5,24.8,,0.0,0.0,0.1,.043,,-0.9,-4.1,-5.1,-0.1
44,Michael Beasley\beaslmi01,PF,28,Milwaukee Bucks,52,870,18.0,.594,.102,.270,5.2,19.2,12.3,9.9,1.5,2.4,13.4,25.1,,0.8,0.9,1.7,.096,,-1.5,-1.2,-2.7,-0.2
45,Marco Belinelli\belinma01,SG,30,Charlotte Hornets,72,1745,13.3,.565,.458,.275,0.9,10.1,5.5,13.0,1.2,0.5,9.1,19.2,,2.0,1.3,3.3,.090,,0.1,-1.8,-1.7,0.1
46,DeAndre' Bembry\bembrde01,SF,22,Atlanta Hawks,34,315,8.5,.457,.172,.184,4.2,12.0,8.2,11.1,0.9,1.1,10.5,14.5,,-0.1,0.3,0.2,.031,,-4.7,-0.4,-5.1,-0.2
47,Dragan Bender\bendedr01,PF,19,Phoenix Suns,39,496,6.1,.473,.632,.075,4.1,15.8,9.8,4.8,0.9,3.4,16.9,14.0,,-0.4,0.3,-0.1,-0.013,,-3.8,-0.1,-3.8,-0.2
48,Anthony Bennett\bennean01,PF,23,Brooklyn Nets,23,264,14.7,.533,.522,.391,10.2,21.0,15.7,7.1,0.9,0.9,10.0,19.4,,0.3,0.2,0.5,.091,,-0.7,-2.2,-2.9,-0.1
49,Ben Bentil\bentibe01,PF,21,Dallas Mavericks,3,10,-17.6,.000,.333,.000,0.0,24.6,11.7,0.0,0.0,0.0,25.0,18.9,,-0.1,0.0,-0.1,-0.474,,-22.4,-4.5,-26.9,-0.1
50,Davis Bertans\bertada01,PF,24,San Antonio Spurs,62,719,12.6,.608,.725,.165,2.9,11.1,7.1,8.6,1.2,2.8,11.5,15.2,,1.0,1.0,2.0,.135,,1.0,0.6,1.5,0.6
51,Patrick Beverley\beverpa01,SG,28,Houston Rockets,63,1935,13.0,.547,.532,.157,4.9,15.4,10.1,18.8,2.3,1.0,14.8,14.2,,2.7,2.3,5.0,.124,,0.9,1.5,2.3,2.1
52,Bismack Biyombo\biyombi01,C,24,Orlando Magic,76,1727,12.0,.541,.000,.678,9.2,25.4,17.1,5.9,0.6,4.1,17.7,13.1,,0.7,2.0,2.7,.075,,-4.3,2.1,-2.2,-0.1
53,Nemanja Bjelica\bjeline01,PF,28,Minnesotta Timberwolves,65,1190,11.0,.526,.497,.171,5.5,18.8,12.0,9.7,1.7,1.4,13.4,16.5,,0.6,1.0,1.5,.062,,-0.8,-0.3,-1.1,0.3
54,Tarik Black\blackta01,C,25,Los Angeles Lakers,62,992,14.9,.562,.007,.383,14.8,20.2,17.4,5.5,1.1,3.0,15.4,16.0,,1.4,0.6,2.0,.098,,-1.7,-0.4,-2.1,0.0
55,Eric Bledsoe\bledser01,PG,27,Phoenix Suns,66,2176,20.6,.563,.300,.443,2.5,13.8,8.0,31.2,2.0,1.2,15.3,28.1,,4.0,1.4,5.4,.119,,3.6,-0.4,3.2,2.9
56,Bojan Bogdanovic\bogdabo02,SF,27,TOT,76,1977,13.9,.588,.464,.293,2.0,12.3,7.2,8.8,0.8,0.3,12.1,22.6,,2.1,0.9,3.0,.072,,0.1,-2.7,-2.6,-0.3
57,Bojan Bogdanovic\bogdabo02,SF,27,Brooklyn Nets,55,1482,13.1,.572,.453,.273,1.7,12.3,7.0,10.1,0.8,0.2,11.8,22.4,,1.1,0.6,1.7,.054,,-0.3,-2.6,-2.9,-0.3
58,Bojan Bogdanovic\bogdabo02,SF,27,Washington Wizards,21,495,16.4,.637,.497,.355,3.0,12.2,7.6,5.2,1.0,0.7,12.7,23.0,,1.0,0.3,1.3,.124,,1.4,-3.1,-1.7,0.0
59,Andrew Bogut\bogutan01,C,32,TOT,27,583,9.3,.460,.012,.136,10.7,34.1,21.9,12.3,1.2,3.9,33.4,10.5,,-0.3,1.0,0.7,.056,,-5.6,5.4,-0.2,0.3
60,Andrew Bogut\bogutan01,C,32,Dallas Mavericks,26,582,9.4,.460,.012,.136,10.7,34.2,21.9,12.3,1.2,3.9,33.4,10.5,,-0.3,1.0,0.7,.056,,-5.6,5.4,-0.2,0.3
61,Andrew Bogut\bogutan01,C,32,Cleveland Cavaliers,1,1,-35.3,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.019,,-5.7,0.0,-5.7,0.0
62,Joel Bolomboy\bolomjo01,PF,23,Utah Jazz,10,35,19.0,.581,.167,.333,3.4,32.2,18.1,10.1,1.5,2.3,12.7,21.0,,0.0,0.1,0.1,.136,,-3.1,1.2,-1.9,0.0
63,Devin Booker\bookede01,SG,20,Phoenix Suns,75,2628,14.4,.532,.282,.309,1.8,8.3,5.0,16.2,1.2,0.6,13.2,28.5,,1.2,0.6,1.8,.033,,0.2,-2.7,-2.5,-0.4
64,Trevor Booker\booketr01,PF,29,Brooklyn Nets,69,1714,15.8,.556,.134,.190,8.8,25.7,17.3,13.0,2.0,1.2,16.7,18.7,,1.0,2.2,3.2,.089,,-1.5,1.8,0.2,1.0
65,Avery Bradley\bradlav01,SG,26,Boston Celtics,50,1668,14.9,.554,.351,.116,3.9,16.7,10.4,11.2,1.9,0.5,10.3,22.3,,1.0,1.9,2.9,.084,,-0.1,-0.2,-0.3,0.7
66,Corey Brewer\breweco01,SF,30,TOT,77,1181,8.9,.494,.354,.201,2.7,11.8,7.2,9.7,2.0,1.3,11.9,14.2,,0.1,1.1,1.2,.049,,-2.9,0.0,-2.8,-0.3
67,Corey Brewer\breweco01,SF,30,Houston Rockets,58,923,7.5,.491,.414,.194,2.5,11.1,6.8,9.0,1.9,1.0,12.7,12.9,,0.0,0.9,0.9,.047,,-3.1,0.0,-3.0,-0.2
